match_id,season,date,city,venue,teams,team_1,team_2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,result,method
635,2013,2013-05-24,Kolkata,Eden Gardens,"['Mumbai Indians', 'Rajasthan Royals']",MI,RR,RR,bat,MI,,4.0,['Harbhajan Singh'],0,0
636,2013,2013-05-26,Kolkata,Eden Gardens,"['Chennai Super Kings', 'Mumbai Indians']",CSK,MI,MI,bat,MI,23.0,,['KA Pollard'],0,0
637,2014,2014-04-16,Abu Dhabi,Sheikh Zayed Stadium,"['Mumbai Indians', 'Kolkata Knight Riders']",MI,KKR,KKR,bat,KKR,41.0,,['JH Kallis'],0,0
638,2014,2014-04-17,,Sharjah Cricket Stadium,"['Delhi Daredevils', 'Royal Challengers Bangalore']",DC,RCB,RCB,field,RCB,,8.0,['YS Chahal'],0,0
639,2014,2014-04-18,Abu Dhabi,Sheikh Zayed Stadium,"['Chennai Super Kings', 'Kings XI Punjab']",CSK,KXIP,CSK,bat,KXIP,,6.0,['GJ Maxwell'],0,0
640,2014,2014-04-18,Abu Dhabi,Sheikh Zayed Stadium,"['Sunrisers Hyderabad', 'Rajasthan Royals']",SRH,RR,RR,field,RR,,4.0,['AM Rahane'],0,0
641,2014,2014-04-19,,Dubai International Cricket Stadium,"['Royal Challengers Bangalore', 'Mumbai Indians']",RCB,MI,RCB,field,RCB,,7.0,['PA Patel'],0,0
642,2014,2014-04-19,,Dubai International Cricket Stadium,"['Kolkata Knight Riders', 'Delhi Daredevils']",KKR,DC,KKR,bat,DC,,4.0,['JP Duminy'],0,0
643,2014,2014-04-20,,Sharjah Cricket Stadium,"['Rajasthan Royals', 'Kings XI Punjab']",RR,KXIP,KXIP,field,KXIP,,7.0,['GJ Maxwell'],0,0
644,2014,2014-04-21,Abu Dhabi,Sheikh Zayed Stadium,"['Chennai Super Kings', 'Delhi Daredevils']",CSK,DC,CSK,bat,CSK,93.0,,['SK Raina'],0,0
645,2014,2014-04-22,,Sharjah Cricket Stadium,"['Kings XI Punjab', 'Sunrisers Hyderabad']",KXIP,SRH,SRH,field,KXIP,72.0,,['GJ Maxwell'],0,0
646,2014,2014-04-23,,Dubai International Cricket Stadium,"['Rajasthan Royals', 'Chennai Super Kings']",RR,CSK,RR,field,CSK,7.0,,['RA Jadeja'],0,0
647,2014,2014-04-24,,Sharjah Cricket Stadium,"['Royal Challengers Bangalore', 'Kolkata Knight Riders']",RCB,KKR,RCB,field,KKR,2.0,,['CA Lynn'],0,0
648,2014,2014-04-25,,Dubai International Cricket Stadium,"['Sunrisers Hyderabad', 'Delhi Daredevils']",SRH,DC,SRH,bat,SRH,4.0,,['AJ Finch'],0,0
649,2014,2014-04-25,,Dubai International Cricket Stadium,"['Chennai Super Kings', 'Mumbai Indians']",CSK,MI,MI,bat,CSK,,7.0,['MM Sharma'],0,0
650,2014,2014-04-26,Abu Dhabi,Sheikh Zayed Stadium,"['Rajasthan Royals', 'Royal Challengers Bangalore']",RR,RCB,RR,field,RR,,6.0,['PV Tambe'],0,0
651,2014,2014-04-26,Abu Dhabi,Sheikh Zayed Stadium,"['Kolkata Knight Riders', 'Kings XI Punjab']",KKR,KXIP,KKR,field,KXIP,23.0,,['Sandeep Sharma'],0,0
652,2014,2014-04-27,,Sharjah Cricket Stadium,"['Delhi Daredevils', 'Mumbai Indians']",DC,MI,MI,bat,DC,,6.0,['M Vijay'],0,0
653,2014,2014-04-27,,Sharjah Cricket Stadium,"['Sunrisers Hyderabad', 'Chennai Super Kings']",SRH,CSK,SRH,bat,CSK,,5.0,['DR Smith'],0,0
654,2014,2014-04-28,,Dubai International Cricket Stadium,"['Kings XI Punjab', 'Royal Challengers Bangalore']",KXIP,RCB,KXIP,field,KXIP,,5.0,['Sandeep Sharma'],0,0
655,2014,2014-04-29,Abu Dhabi,Sheikh Zayed Stadium,"['Kolkata Knight Riders', 'Rajasthan Royals']",KKR,RR,RR,bat,RR,,,['JP Faulkner'],superover,0
656,2014,2014-04-30,,Dubai International Cricket Stadium,"['Mumbai Indians', 'Sunrisers Hyderabad']",MI,SRH,MI,field,SRH,15.0,,['B Kumar'],0,0
657,2014,2014-05-02,Ranchi,JSCA International Stadium Complex,"['Chennai Super Kings', 'Kolkata Knight Riders']",CSK,KKR,CSK,bat,CSK,34.0,,['RA Jadeja'],0,0
658,2014,2014-05-03,Mumbai,Wankhede Stadium,"['Mumbai Indians', 'Kings XI Punjab']",MI,KXIP,KXIP,bat,MI,,5.0,['CJ Anderson'],0,0
659,2014,2014-05-03,Delhi,Feroz Shah Kotla,"['Delhi Daredevils', 'Rajasthan Royals']",DC,RR,RR,field,RR,,7.0,['KK Nair'],0,0
660,2014,2014-05-04,Bangalore,M Chinnaswamy Stadium,"['Royal Challengers Bangalore', 'Sunrisers Hyderabad']",RCB,SRH,RCB,field,RCB,,4.0,['AB de Villiers'],0,0
662,2014,2014-05-05,Delhi,Feroz Shah Kotla,"['Delhi Daredevils', 'Chennai Super Kings']",DC,CSK,CSK,field,CSK,,8.0,['DR Smith'],0,0
661,2014,2014-05-05,Ahmedabad,"Sardar Patel Stadium, Motera","['Rajasthan Royals', 'Kolkata Knight Riders']",RR,KKR,KKR,field,RR,10.0,,['PV Tambe'],0,0
